Date,SKU,Unit Price,Quantity,Total Price
2019-01-01,Hot Chocolate Fudge,120,5,600
2019-01-01,Pista Single Scoop,60,2,120
2019-01-01,Cake Fudge,150,2,300
2019-01-01,Hot Chocolate Fudge,120,2,240
2019-01-01,Vanilla Single Scoop,50,5,250
2019-01-01,Dry Fruit Double Scoop,90,3,270
2019-01-01,Butterscotch Single Scoop,60,3,180
2019-01-01,Cake Fudge,150,2,300
2019-01-01,Vanilla Double Scoop,80,5,400
2019-01-01,Dry Fruit Single Scoop,60,1,60
2019-01-01,Cafe Caramel,160,5,800
2019-01-01,Hot Chocolate Fudge,120,4,480
2019-01-01,Chocolate Europa Double Scoop,100,4,400
2019-01-01,Rocky Road Single Scoop,50,1,50
2019-01-01,Hot Chocolate Fudge,120,4,480
2019-01-01,Hot Chocolate Fudge,120,3,360
2019-01-01,Vanilla Double Scoop,80,3,240
2019-01-01,Cafe Caramel,160,2,320
2019-01-01,Vanilla Double Scoop,80,1,80
2019-01-01,Vanilla Double Scoop,80,5,400
2019-01-01,Cake Fudge,150,3,450
2019-01-01,Vanilla Single Scoop,50,5,250
2019-01-01,Hot Chocolate Fudge,120,2,240
2019-01-01,Hot Chocolate Fudge,120,5,600
2019-01-01,Vanilla Double Scoop,80,2,160
2019-01-01,Vanilla Single Scoop,50,4,200
2019-01-01,Vanilla Double Scoop,80,5,400
2019-01-01,Vanilla Single Scoop,50,4,200
2019-01-01,Vanilla Single Scoop,50,4,200
2019-01-01,Mint Fudge,120,3,360
2019-01-01,Butterscotch Single Scoop,60,3,180
2019-01-01,Vanilla Single Scoop,50,2,100
2019-01-01,Hot Chocolate Fudge,120,4,480
2019-01-01,Vanilla Single Scoop,50,3,150
2019-01-01,Death by Chocolate,180,2,360
2019-01-01,Dry Fruit Double Scoop,90,2,180
2019-01-01,Vanilla Single Scoop,50,1,50
2019-01-01,Butterscotch Single Scoop,60,3,180
2019-01-01,Vanilla Single Scoop,50,3,150
2019-01-01,Cake Fudge,150,2,300
2019-01-01,Vanilla Double Scoop,80,2,160
2019-01-01,Vanilla Double Scoop,80,5,400
2019-01-01,Chocolate Europa Double Scoop,100,4,400
2019-01-01,Death by Chocolate,180,4,720
2019-01-01,Hot Chocolate Fudge,120,1,120
2019-01-01,Death by Chocolate,180,2,360
2019-01-01,Cake Fudge,150,2,300
2019-01-02,Cafe Caramel,160,2,320
2019-01-02,Fig and Honey Double Scoop,90,1,90
2019-01-02,Cake Fudge,150,2,300
2019-01-02,Vanilla Single Scoop,50,2,100
2019-01-02,Death by Chocolate,180,1,180
2019-01-02,Cake Fudge,150,3,450
2019-01-02,Hot Chocolate Fudge,120,4,480
2019-01-02,Chocolate Europa Single Scoop,70,5,350
2019-01-02,Butterscotch Single Scoop,60,5,300
2019-01-02,Butterscotch Double Scoop,90,2,180
2019-01-02,Hot Chocolate Fudge,120,1,120
2019-01-02,Hot Chocolate Fudge,120,2,240
2019-01-02,Fig and Honey Single Scoop,60,4,240
2019-01-02,Butterscotch Single Scoop,60,3,180
2019-01-02,Cake Fudge,150,3,450
2019-01-02,Vanilla Single Scoop,50,4,200
2019-01-02,Pista Double Scoop,90,1,90
2019-01-02,Caramel Crunch Double Scoop,100,5,500
2019-01-02,Vanilla Double Scoop,80,4,320
2019-01-02,Death by Chocolate,180,1,180
2019-01-02,Butterscotch Double Scoop,90,5,450
2019-01-02,Vanilla Double Scoop,80,4,320
2019-01-02,Hot Chocolate Fudge,120,2,240
2019-01-02,Hot Chocolate Fudge,120,5,600
2019-01-02,Cake Fudge,150,3,450
2019-01-02,Cafe Caramel,160,1,160
2019-01-02,Cafe Caramel,160,1,160
2019-01-02,Vanilla Double Scoop,80,3,240
2019-01-02,Butterscotch Single Scoop,60,2,120
2019-01-02,Hot Chocolate Fudge,120,5,600
2019-01-02,Hot Chocolate Fudge,120,1,120
2019-01-02,Hot Chocolate Fudge,120,1,120
2019-01-02,Butterscotch Single Scoop,60,4,240
2019-01-02,Pista Single Scoop,60,5,300
2019-01-02,Death by Chocolate,180,4,720
2019-01-02,Hot Chocolate Fudge,120,1,120
2019-01-02,Death by Chocolate,180,2,360
2019-01-02,Banana Split,140,3,420
2019-01-02,Hot Chocolate Fudge,120,2,240
2019-01-02,Almond Fudge,150,1,150
2019-01-02,Pista Single Scoop,60,2,120
2019-01-02,Caramel Crunch Double Scoop,100,2,200
2019-01-02,Banana Split,140,5,700
2019-01-02,Death by Chocolate,180,2,360
2019-01-02,Cake Fudge,150,4,600
2019-01-02,Hot Chocolate Fudge,120,3,360
2019-01-02,Vanilla Double Scoop,80,3,240
2019-01-02,Cake Fudge,150,3,450
2019-01-02,Vanilla Double Scoop,80,4,320
2019-01-02,Hot Chocolate Fudge,120,3,360
2019-01-02,Vanilla Double Scoop,80,3,240
2019-01-02,Death by Chocolate,180,3,540
2019-01-02,Vanilla Double Scoop,80,1,80
2019-01-02,Hot Chocolate Fudge,120,4,480
2019-01-02,Death by Chocolate,180,2,360
2019-01-02,Banana Split,140,3,420
2019-01-02,Hot Chocolate Fudge,120,2,240
2019-01-02,Hot Chocolate Fudge,120,5,600
2019-01-02,Butterscotch Single Scoop,60,4,240
2019-01-02,Death by Chocolate,180,1,180
2019-01-02,Butterscotch Single Scoop,60,4,240
2019-01-02,Butterscotch Single Scoop,60,2,120
2019-01-02,Death by Chocolate,180,4,720
2019-01-02,Death by Chocolate,180,3,540
2019-01-02,Death by Chocolate,180,3,540
2019-01-02,Death by Chocolate,180,4,720
2019-01-02,Hot Chocolate Fudge,120,3,360
2019-01-02,Vanilla Double Scoop,80,3,240
2019-01-02,Cafe Caramel,160,1,160
2019-01-02,Cake Fudge,150,5,750
2019-01-02,Vanilla Double Scoop,80,5,400
2019-01-02,Death by Chocolate,180,5,900
2019-01-02,Vanilla Single Scoop,50,5,250
2019-01-02,Death by Chocolate,180,5,900
2019-01-02,Cafe Caramel,160,4,640
2019-01-02,Butterscotch Single Scoop,60,1,60
2019-01-02,Butterscotch Single Scoop,60,3,180
2019-01-02,Vanilla Double Scoop,80,4,320
2019-01-02,Cake Fudge,150,1,150
2019-01-02,Vanilla Double Scoop,80,2,160
2019-01-02,Cafe Caramel,160,5,800
2019-01-02,Fig and Honey Double Scoop,90,3,270
2019-01-02,Hot Chocolate Fudge,120,1,120
2019-01-02,Vanilla Single Scoop,50,2,100
2019-01-02,Hot Chocolate Fudge,120,4,480
2019-01-02,Death by Chocolate,180,4,720
2019-01-02,Vanilla Single Scoop,50,5,250
2019-01-02,Vanilla Double Scoop,80,4,320
2019-01-02,Death by Chocolate,180,4,720
2019-01-02,Hot Chocolate Fudge,120,3,360
2019-01-02,Hot Chocolate Fudge,120,3,360
2019-01-02,Cake Fudge,150,4,600
2019-01-02,Vanilla Single Scoop,50,5,250
2019-01-02,Butterscotch Single Scoop,60,3,180
2019-01-02,Hot Chocolate Fudge,120,5,600
2019-01-02,Fig and Honey Single Scoop,60,4,240
2019-01-02,Vanilla Single Scoop,50,4,200
2019-01-02,Death by Chocolate,180,5,900
2019-01-02,Butterscotch Single Scoop,60,5,300
2019-01-02,Hot Chocolate Fudge,120,1,120
2019-01-02,Vanilla Single Scoop,50,5,250
2019-01-02,Hot Chocolate Fudge,120,2,240
2019-01-02,Butterscotch Single Scoop,60,5,300
2019-01-02,Cake Fudge,150,2,300
2019-01-02,Vanilla Single Scoop,50,4,200
2019-01-02,Vanilla Double Scoop,80,4,320
2019-01-02,Vanilla Double Scoop,80,2,160
2019-01-02,Dry Fruit Double Scoop,90,2,180
2019-01-02,Death by Chocolate,180,5,900
2019-01-02,Death by Chocolate,180,3,540
2019-01-02,Hot Chocolate Fudge,120,4,480
2019-01-02,Cake Fudge,150,5,750
2019-01-02,Vanilla Double Scoop,80,2,160
2019-01-02,Cake Fudge,150,5,750
2019-01-02,Cake Fudge,150,1,150
2019-01-02,Vanilla Double Scoop,80,2,160
2019-01-02,Banana Split,140,5,700
2019-01-02,Caramel Crunch Single Scoop,70,1,70
2019-01-02,Cafe Caramel,160,5,800
2019-01-02,Hot Chocolate Fudge,120,3,360
2019-01-02,Hot Chocolate Fudge,120,4,480
2019-01-02,Death by Chocolate,180,2,360
2019-01-02,Vanilla Double Scoop,80,5,400
2019-01-03,Cafe Caramel,160,3,480
2019-01-03,Cafe Caramel,160,5,800
2019-01-03,Butterscotch Single Scoop,60,4,240
2019-01-03,Vanilla Double Scoop,80,3,240
2019-01-03,Hot Chocolate Fudge,120,1,120
2019-01-03,Banana Split,140,3,420
2019-01-03,Fig and Honey Single Scoop,60,3,180
2019-01-03,Hot Chocolate Fudge,120,5,600
2019-01-03,Pista Single Scoop,60,3,180
2019-01-03,Vanilla Double Scoop,80,5,400
2019-01-03,Vanilla Double Scoop,80,4,320
2019-01-03,Cake Fudge,150,2,300
2019-01-03,Hot Chocolate Fudge,120,5,600
2019-01-03,Vanilla Double Scoop,80,3,240
2019-01-03,Cake Fudge,150,1,150
2019-01-03,Dry Fruit Double Scoop,90,2,180
2019-01-03,Hot Chocolate Fudge,120,1,120
2019-01-03,Death by Chocolate,180,1,180
2019-01-03,Hot Chocolate Fudge,120,4,480
2019-01-03,Vanilla Single Scoop,50,3,150
2019-01-03,Death by Chocolate,180,5,900
2019-01-03,Rocky Road Single Scoop,50,4,200
2019-01-03,Dry Fruit Double Scoop,90,4,360
2019-01-03,Hot Chocolate Fudge,120,4,480
2019-01-03,Vanilla Double Scoop,80,4,320
2019-01-03,Cafe Caramel,160,4,640
2019-01-03,Vanilla Double Scoop,80,5,400
2019-01-03,Butterscotch Single Scoop,60,5,300
2019-01-03,Rocky Road Double Scoop,80,2,160
2019-01-03,Cake Fudge,150,5,750
2019-01-03,Vanilla Double Scoop,80,1,80
2019-01-03,Death by Chocolate,180,1,180
2019-01-03,Cake Fudge,150,2,300
2019-01-03,Hot Chocolate Fudge,120,3,360
2019-01-03,Vanilla Double Scoop,80,3,240
2019-01-03,Hot Chocolate Fudge,120,2,240
2019-01-03,Vanilla Double Scoop,80,5,400
2019-01-03,Cafe Caramel,160,3,480
2019-01-03,Hot Chocolate Fudge,120,4,480
2019-01-03,Cafe Caramel,160,1,160
2019-01-03,Vanilla Double Scoop,80,1,80
2019-01-03,Vanilla Double Scoop,80,4,320
2019-01-03,Butterscotch Single Scoop,60,5,300
2019-01-03,Vanilla Single Scoop,50,4,200
2019-01-03,Rocky Road Double Scoop,80,4,320
2019-01-03,Cafe Caramel,160,5,800
2019-01-03,Cake Fudge,150,5,750
2019-01-03,Vanilla Double Scoop,80,1,80
2019-01-03,Hot Chocolate Fudge,120,5,600
2019-01-03,Hot Chocolate Fudge,120,4,480
2019-01-03,Hot Chocolate Fudge,120,2,240
2019-01-03,Hot Chocolate Fudge,120,4,480
2019-01-03,Hot Chocolate Fudge,120,5,600
2019-01-03,Vanilla Single Scoop,50,1,50
2019-01-03,Death by Chocolate,180,2,360
2019-01-03,Caramel Crunch Double Scoop,100,2,200
2019-01-03,Butterscotch Single Scoop,60,5,300
2019-01-03,Cafe Caramel,160,1,160
2019-01-03,Hot Chocolate Fudge,120,2,240
2019-01-03,Hot Chocolate Fudge,120,3,360
2019-01-03,Cake Fudge,150,2,300
2019-01-03,Butterscotch Single Scoop,60,4,240
2019-01-03,Vanilla Double Scoop,80,1,80
2019-01-03,Hot Chocolate Fudge,120,3,360
2019-01-03,Vanilla Single Scoop,50,5,250
2019-01-03,Hot Chocolate Fudge,120,4,480
2019-01-03,Butterscotch Single Scoop,60,1,60
2019-01-03,Death by Chocolate,180,4,720
2019-01-03,Vanilla Single Scoop,50,4,200
2019-01-03,Cake Fudge,150,2,300
2019-01-03,Cake Fudge,150,1,150
2019-01-03,Hot Chocolate Fudge,120,2,240
2019-01-03,Death by Chocolate,180,1,180
2019-01-03,Vanilla Double Scoop,80,3,240
2019-01-03,Vanilla Single Scoop,50,4,200
2019-01-03,Vanilla Double Scoop,80,3,240
2019-01-03,Death by Chocolate,180,5,900
2019-01-03,Hot Chocolate Fudge,120,3,360
2019-01-03,Butterscotch Single Scoop,60,5,300
2019-01-03,Vanilla Double Scoop,80,3,240
2019-01-03,Butterscotch Single Scoop,60,4,240
2019-01-03,Vanilla Double Scoop,80,3,240
2019-01-03,Pista Single Scoop,60,2,120
2019-01-03,Rocky Road Double Scoop,80,4,320
2019-01-03,Hot Chocolate Fudge,120,2,240
2019-01-03,Fig and Honey Double Scoop,90,3,270
2019-01-03,Hot Chocolate Fudge,120,5,600
2019-01-03,Vanilla Double Scoop,80,3,240
2019-01-03,Cafe Caramel,160,5,800
2019-01-03,Dry Fruit Single Scoop,60,2,120
2019-01-03,Vanilla Single Scoop,50,2,100
2019-01-03,Death by Chocolate,180,1,180
2019-01-03,Vanilla Double Scoop,80,4,320
2019-01-03,Vanilla Single Scoop,50,5,250
2019-01-03,Vanilla Single Scoop,50,4,200
2019-01-03,Butterscotch Single Scoop,60,3,180
2019-01-03,Hot Chocolate Fudge,120,2,240
2019-01-03,Vanilla Double Scoop,80,4,320
2019-01-03,Hot Chocolate Fudge,120,4,480
2019-01-03,Vanilla Single Scoop,50,2,100
2019-01-03,Cake Fudge,150,4,600
2019-01-03,Hot Chocolate Fudge,120,3,360
2019-01-03,Dew Drop Sundae,150,2,300
2019-01-03,Hot Chocolate Fudge,120,1,120
2019-01-03,Vanilla Single Scoop,50,3,150
2019-01-03,Chocolate Europa Double Scoop,100,4,400
2019-01-03,Butterscotch Single Scoop,60,1,60
2019-01-03,Butterscotch Single Scoop,60,3,180
2019-01-03,Hot Chocolate Fudge,120,2,240
2019-01-03,Pista Double Scoop,90,3,270
2019-01-03,Vanilla Double Scoop,80,1,80
2019-01-03,Vanilla Double Scoop,80,3,240
2019-01-03,Hot Chocolate Fudge,120,3,360
2019-01-03,Hot Chocolate Fudge,120,5,600
2019-01-03,Hot Chocolate Fudge,120,1,120
2019-01-03,Butterscotch Single Scoop,60,5,300
2019-01-03,Vanilla Double Scoop,80,2,160
2019-01-03,Pista Double Scoop,90,1,90
2019-01-03,Vanilla Double Scoop,80,3,240
2019-01-03,Cake Fudge,150,2,300
2019-01-03,Cake Fudge,150,2,300
2019-01-03,Hot Chocolate Fudge,120,4,480
2019-01-03,Butterscotch Single Scoop,60,4,240
2019-01-03,Death by Chocolate,180,5,900
2019-01-03,Butterscotch Single Scoop,60,3,180
2019-01-04,Rocky Road Single Scoop,50,5,250
2019-01-04,Vanilla Double Scoop,80,5,400
2019-01-04,Cake Fudge,150,4,600
2019-01-04,Vanilla Double Scoop,80,4,320
2019-01-04,Cake Fudge,150,4,600
2019-01-04,Hot Chocolate Fudge,120,3,360
2019-01-04,Rocky Road Double Scoop,80,1,80
2019-01-04,Death by Chocolate,180,4,720
2019-01-04,Vanilla Double Scoop,80,4,320
2019-01-04,Vanilla Single Scoop,50,4,200
2019-01-04,Cake Fudge,150,5,750
2019-01-04,Caramel Crunch Single Scoop,70,5,350
2019-01-04,Death by Chocolate,180,2,360
2019-01-04,Hot Chocolate Fudge,120,2,240
2019-01-04,Cake Fudge,150,5,750
2019-01-04,Butterscotch Single Scoop,60,2,120
2019-01-04,Vanilla Double Scoop,80,3,240
2019-01-04,Pista Double Scoop,90,2,180
2019-01-04,Vanilla Double Scoop,80,2,160
2019-01-04,Dry Fruit Double Scoop,90,5,450
2019-01-04,Almond Fudge,150,3,450
2019-01-04,Butterscotch Single Scoop,60,1,60
2019-01-04,Vanilla Double Scoop,80,3,240
2019-01-04,Dry Fruit Double Scoop,90,1,90
2019-01-04,Vanilla Double Scoop,80,5,400
2019-01-04,Hot Chocolate Fudge,120,2,240
2019-01-04,Hot Chocolate Fudge,120,1,120
2019-01-04,Hot Chocolate Fudge,120,3,360
2019-01-04,Vanilla Single Scoop,50,4,200
2019-01-04,Vanilla Double Scoop,80,3,240
2019-01-04,Death by Chocolate,180,5,900
2019-01-04,Cake Fudge,150,1,150
2019-01-04,Vanilla Double Scoop,80,5,400
2019-01-04,Vanilla Single Scoop,50,4,200
2019-01-04,Hot Chocolate Fudge,120,3,360
2019-01-04,Vanilla Double Scoop,80,3,240
2019-01-04,Hot Chocolate Fudge,120,5,600
2019-01-04,Vanilla Double Scoop,80,1,80
2019-01-04,Cake Fudge,150,4,600
2019-01-04,Pista Single Scoop,60,3,180
2019-01-04,Cake Fudge,150,4,600
2019-01-04,Vanilla Single Scoop,50,4,200
2019-01-04,Trilogy,160,5,800
2019-01-04,Hot Chocolate Fudge,120,1,120
2019-01-04,Hot Chocolate Fudge,120,3,360
2019-01-04,Hot Chocolate Fudge,120,2,240
2019-01-04,Hot Chocolate Fudge,120,5,600
2019-01-04,Vanilla Double Scoop,80,5,400
2019-01-04,Hot Chocolate Fudge,120,4,480
2019-01-04,Dry Fruit Single Scoop,60,1,60
2019-01-04,Fig and Honey Double Scoop,90,5,450
2019-01-04,Dew Drop Sundae,150,2,300
2019-01-04,Hot Chocolate Fudge,120,1,120
2019-01-04,Vanilla Single Scoop,50,4,200
2019-01-04,Vanilla Double Scoop,80,1,80
2019-01-04,Cafe Caramel,160,1,160
2019-01-04,Hot Chocolate Fudge,120,5,600
2019-01-04,Butterscotch Single Scoop,60,4,240
2019-01-04,Hot Chocolate Fudge,120,4,480
2019-01-04,Butterscotch Single Scoop,60,5,300
2019-01-04,Cafe Caramel,160,3,480
2019-01-04,Hot Chocolate Fudge,120,1,120
2019-01-04,Vanilla Double Scoop,80,2,160
2019-01-04,Hot Chocolate Fudge,120,5,600
2019-01-04,Butterscotch Single Scoop,60,3,180
2019-01-04,Vanilla Double Scoop,80,5,400
2019-01-04,Chocolate Europa Single Scoop,70,5,350
2019-01-04,Vanilla Double Scoop,80,5,400
2019-01-04,Mint Fudge,120,1,120
2019-01-04,Death by Chocolate,180,4,720
2019-01-04,Hot Chocolate Fudge,120,2,240
2019-01-04,Chocolate Europa Single Scoop,70,5,350
2019-01-04,Hot Chocolate Fudge,120,1,120
2019-01-04,Death by Chocolate,180,2,360
2019-01-04,Hot Chocolate Fudge,120,3,360
2019-01-04,Hot Chocolate Fudge,120,2,240
2019-01-04,Vanilla Single Scoop,50,1,50
2019-01-04,Hot Chocolate Fudge,120,3,360
2019-01-04,Butterscotch Single Scoop,60,5,300
2019-01-04,Vanilla Single Scoop,50,1,50
2019-01-04,Vanilla Double Scoop,80,1,80
2019-01-04,Vanilla Double Scoop,80,2,160
2019-01-04,Pista Double Scoop,90,1,90
2019-01-04,Death by Chocolate,180,1,180
2019-01-04,Vanilla Single Scoop,50,5,250
2019-01-04,Cafe Caramel,160,5,800
2019-01-04,Hot Chocolate Fudge,120,2,240
2019-01-04,Hot Chocolate Fudge,120,3,360
2019-01-04,Cake Fudge,150,2,300
2019-01-04,Vanilla Single Scoop,50,2,100
2019-01-04,Butterscotch Single Scoop,60,4,240
2019-01-04,Vanilla Double Scoop,80,5,400
2019-01-04,Cake Fudge,150,3,450
2019-01-04,Hot Chocolate Fudge,120,5,600
2019-01-04,Vanilla Single Scoop,50,2,100
2019-01-04,Vanilla Single Scoop,50,5,250
2019-01-04,Cake Fudge,150,4,600
2019-01-04,Cake Fudge,150,2,300
2019-01-04,Vanilla Double Scoop,80,2,160
2019-01-04,Cake Fudge,150,4,600
2019-01-04,Cafe Caramel,160,3,480
2019-01-04,Death by Chocolate,180,5,900
2019-01-04,Fig and Honey Double Scoop,90,2,180
2019-01-04,Death by Chocolate,180,1,180
2019-01-04,Hot Chocolate Fudge,120,5,600
2019-01-04,Vanilla Double Scoop,80,3,240
2019-01-04,Hot Chocolate Fudge,120,2,240
2019-01-04,Cake Fudge,150,2,300
2019-01-04,Butterscotch Single Scoop,60,5,300
2019-01-04,Cake Fudge,150,4,600
2019-01-04,Mint Fudge,120,1,120
2019-01-04,Hot Chocolate Fudge,120,3,360
2019-01-04,Hot Chocolate Fudge,120,3,360
2019-01-04,Vanilla Double Scoop,80,5,400
2019-01-04,Cafe Caramel,160,4,640
2019-01-04,Dew Drop Sundae,150,1,150
2019-01-04,Vanilla Double Scoop,80,3,240
2019-01-04,Caramel Crunch Double Scoop,100,5,500
2019-01-04,Butterscotch Single Scoop,60,5,300
2019-01-04,Vanilla Double Scoop,80,5,400
2019-01-04,Cake Fudge,150,2,300
2019-01-04,Vanilla Single Scoop,50,1,50
2019-01-04,Vanilla Double Scoop,80,5,400
2019-01-04,Hot Chocolate Fudge,120,2,240
2019-01-04,Death by Chocolate,180,5,900
2019-01-04,Butterscotch Single Scoop,60,4,240
2019-01-04,Cake Fudge,150,1,150
2019-01-04,Cake Fudge,150,4,600
2019-01-04,Hot Chocolate Fudge,120,4,480
2019-01-04,Cake Fudge,150,1,150
2019-01-04,Cake Fudge,150,5,750
2019-01-04,Hot Chocolate Fudge,120,3,360
2019-01-04,Hot Chocolate Fudge,120,4,480
2019-01-04,Hot Chocolate Fudge,120,3,360
2019-01-04,Hot Chocolate Fudge,120,4,480
2019-01-04,Dry Fruit Single Scoop,60,4,240
2019-01-04,Fig and Honey Single Scoop,60,3,180
2019-01-04,Vanilla Double Scoop,80,3,240
2019-01-04,Vanilla Double Scoop,80,3,240
2019-01-04,Hot Chocolate Fudge,120,5,600
2019-01-04,Hot Chocolate Fudge,120,3,360
2019-01-04,Vanilla Single Scoop,50,4,200
2019-01-04,Pista Double Scoop,90,3,270
2019-01-04,Hot Chocolate Fudge,120,4,480
2019-01-04,Butterscotch Single Scoop,60,4,240
2019-01-04,Hot Chocolate Fudge,120,3,360
2019-01-04,Chocolate Europa Double Scoop,100,5,500
2019-01-04,Hot Chocolate Fudge,120,1,120
2019-01-04,Death by Chocolate,180,5,900
2019-01-04,Hot Chocolate Fudge,120,1,120
2019-01-04,Caramel Crunch Double Scoop,100,1,100
2019-01-04,Hot Chocolate Fudge,120,5,600
2019-01-04,Butterscotch Single Scoop,60,4,240
2019-01-04,Cake Fudge,150,1,150
2019-01-04,Hot Chocolate Fudge,120,3,360
2019-01-04,Butterscotch Single Scoop,60,2,120
2019-01-04,Death by Chocolate,180,1,180
2019-01-04,Hot Chocolate Fudge,120,3,360
2019-01-04,Butterscotch Double Scoop,90,5,450
2019-01-04,Cafe Caramel,160,5,800
2019-01-04,Hot Chocolate Fudge,120,5,600
2019-01-04,Butterscotch Single Scoop,60,5,300
2019-01-04,Cake Fudge,150,2,300
2019-01-04,Butterscotch Single Scoop,60,2,120
2019-01-04,Death by Chocolate,180,1,180
2019-01-04,Dry Fruit Double Scoop,90,3,270
2019-01-04,Hot Chocolate Fudge,120,3,360
2019-01-04,Vanilla Single Scoop,50,2,100
2019-01-04,Vanilla Double Scoop,80,1,80
2019-01-04,Cake Fudge,150,2,300
2019-01-04,Vanilla Double Scoop,80,3,240
2019-01-04,Cafe Caramel,160,5,800
2019-01-04,Hot Chocolate Fudge,120,3,360
2019-01-04,Hot Chocolate Fudge,120,3,360
2019-01-04,Cake Fudge,150,2,300
2019-01-04,Hot Chocolate Fudge,120,4,480
2019-01-04,Cake Fudge,150,3,450
2019-01-04,Cake Fudge,150,1,150
2019-01-04,Cafe Caramel,160,1,160
2019-01-04,Hot Chocolate Fudge,120,5,600
2019-01-04,Cake Fudge,150,5,750
2019-01-04,Cake Fudge,150,4,600
2019-01-04,Hot Chocolate Fudge,120,5,600
2019-01-04,Hot Chocolate Fudge,120,2,240
2019-01-05,Death by Chocolate,180,2,360
2019-01-05,Vanilla Double Scoop,80,3,240
2019-01-05,Butterscotch Single Scoop,60,4,240
2019-01-05,Hot Chocolate Fudge,120,1,120
2019-01-05,Vanilla Single Scoop,50,3,150
2019-01-05,Almond Fudge,150,5,750
2019-01-05,Vanilla Double Scoop,80,2,160
2019-01-05,Vanilla Single Scoop,50,2,100
2019-01-05,Vanilla Double Scoop,80,2,160
2019-01-05,Mint Fudge,120,4,480
2019-01-05,Hot Chocolate Fudge,120,2,240
2019-01-05,Cake Fudge,150,4,600
2019-01-05,Vanilla Single Scoop,50,2,100
